rus_id,procedure,outcome,condition,rating
RUS_0059,Fair,Gain,Fair_Gain,6
RUS_0059,Unfair,Loss,Unfair_Loss,6
RUS_0059,Unfair,Gain,Unfair_Gain,7
RUS_0060,Fair,Loss,Fair_Loss,4
RUS_0060,Fair,Gain,Fair_Gain,6
RUS_0060,Unfair,Loss,Unfair_Loss,6
RUS_0060,Unfair,Gain,Unfair_Gain,7
RUS_0061,Fair,Loss,Fair_Loss,3
RUS_0061,Fair,Gain,Fair_Gain,6
RUS_0061,Unfair,Loss,Unfair_Loss,5
RUS_0061,Unfair,Gain,Unfair_Gain,7
RUS_0062,Fair,Loss,Fair_Loss,5
RUS_0062,Fair,Gain,Fair_Gain,6
RUS_0062,Unfair,Loss,Unfair_Loss,6
RUS_0062,Unfair,Gain,Unfair_Gain,7
RUS_0063,Fair,Loss,Fair_Loss,4
RUS_0063,Fair,Gain,Fair_Gain,6
RUS_0063,Unfair,Loss,Unfair_Loss,5
RUS_0063,Unfair,Gain,Unfair_Gain,7
RUS_0064,Fair,Loss,Fair_Loss,4
RUS_0064,Fair,Gain,Fair_Gain,6
RUS_0064,Unfair,Loss,Unfair_Loss,5
RUS_0064,Unfair,Gain,Unfair_Gain,7
RUS_0065,Fair,Loss,Fair_Loss,3
RUS_0065,Fair,Gain,Fair_Gain,6
RUS_0065,Unfair,Loss,Unfair_Loss,5
RUS_0065,Unfair,Gain,Unfair_Gain,6
RUS_0066,Fair,Loss,Fair_Loss,4
RUS_0066,Fair,Gain,Fair_Gain,6
RUS_0066,Unfair,Loss,Unfair_Loss,6
RUS_0066,Unfair,Gain,Unfair_Gain,7
RUS_0067,Fair,Loss,Fair_Loss,5
RUS_0067,Fair,Gain,Fair_Gain,5
RUS_0067,Unfair,Loss,Unfair_Loss,6
RUS_0067,Unfair,Gain,Unfair_Gain,7
RUS_0068,Fair,Loss,Fair_Loss,3
RUS_0068,Fair,Gain,Fair_Gain,6
RUS_0068,Unfair,Loss,Unfair_Loss,5
RUS_0068,Unfair,Gain,Unfair_Gain,6
RUS_0069,Fair,Loss,Fair_Loss,3
RUS_0069,Fair,Gain,Fair_Gain,6
RUS_0069,Unfair,Loss,Unfair_Loss,6
RUS_0069,Unfair,Gain,Unfair_Gain,7
RUS_0070,Fair,Loss,Fair_Loss,5
RUS_0070,Fair,Gain,Fair_Gain,6
RUS_0070,Unfair,Loss,Unfair_Loss,6
RUS_0070,Unfair,Gain,Unfair_Gain,7
RUS_0071,Fair,Loss,Fair_Loss,4
RUS_0071,Fair,Gain,Fair_Gain,6
RUS_0071,Unfair,Loss,Unfair_Loss,6
RUS_0071,Unfair,Gain,Unfair_Gain,7
RUS_0072,Fair,Loss,Fair_Loss,3
RUS_0072,Fair,Gain,Fair_Gain,6
RUS_0072,Unfair,Loss,Unfair_Loss,6
RUS_0072,Unfair,Gain,Unfair_Gain,7
RUS_0073,Fair,Loss,Fair_Loss,4
RUS_0073,Fair,Gain,Fair_Gain,6
RUS_0073,Unfair,Loss,Unfair_Loss,6
RUS_0073,Unfair,Gain,Unfair_Gain,7
RUS_0074,Fair,Loss,Fair_Loss,4
RUS_0074,Fair,Gain,Fair_Gain,6
RUS_0074,Unfair,Loss,Unfair_Loss,6
RUS_0074,Unfair,Gain,Unfair_Gain,7
RUS_0075,Fair,Loss,Fair_Loss,5
RUS_0075,Fair,Gain,Fair_Gain,6
RUS_0075,Unfair,Loss,Unfair_Loss,6
RUS_0075,Unfair,Gain,Unfair_Gain,7
RUS_0076,Fair,Loss,Fair_Loss,3
RUS_0076,Fair,Gain,Fair_Gain,6
RUS_0076,Unfair,Loss,Unfair_Loss,5
RUS_0076,Unfair,Gain,Unfair_Gain,6
RUS_0077,Fair,Loss,Fair_Loss,3
RUS_0077,Fair,Gain,Fair_Gain,6
RUS_0077,Unfair,Loss,Unfair_Loss,5
RUS_0077,Unfair,Gain,Unfair_Gain,6
RUS_0078,Fair,Loss,Fair_Loss,2
RUS_0078,Fair,Gain,Fair_Gain,6
RUS_0078,Unfair,Loss,Unfair_Loss,5
RUS_0078,Unfair,Gain,Unfair_Gain,6
RUS_0079,Fair,Loss,Fair_Loss,5
RUS_0079,Fair,Gain,Fair_Gain,6
RUS_0079,Unfair,Loss,Unfair_Loss,6
RUS_0079,Unfair,Gain,Unfair_Gain,6
RUS_0080,Fair,Loss,Fair_Loss,4
RUS_0080,Fair,Gain,Fair_Gain,6
RUS_0080,Unfair,Loss,Unfair_Loss,6
RUS_0080,Unfair,Gain,Unfair_Gain,7
RUS_0081,Fair,Loss,Fair_Loss,2
RUS_0081,Fair,Gain,Fair_Gain,6
RUS_0081,Unfair,Loss,Unfair_Loss,5
RUS_0081,Unfair,Gain,Unfair_Gain,7
RUS_0082,Fair,Loss,Fair_Loss,4
RUS_0082,Fair,Gain,Fair_Gain,6
RUS_0082,Unfair,Loss,Unfair_Loss,6
RUS_0082,Unfair,Gain,Unfair_Gain,7
RUS_0083,Fair,Loss,Fair_Loss,4
RUS_0083,Fair,Gain,Fair_Gain,6
RUS_0083,Unfair,Loss,Unfair_Loss,5
RUS_0083,Unfair,Gain,Unfair_Gain,7
RUS_0084,Fair,Loss,Fair_Loss,3
RUS_0084,Fair,Gain,Fair_Gain,6
RUS_0084,Unfair,Loss,Unfair_Loss,6
RUS_0084,Unfair,Gain,Unfair_Gain,7
RUS_0085,Fair,Loss,Fair_Loss,4
RUS_0085,Fair,Gain,Fair_Gain,6
RUS_0085,Unfair,Loss,Unfair_Loss,6
RUS_0085,Unfair,Gain,Unfair_Gain,7
RUS_0086,Fair,Loss,Fair_Loss,4
RUS_0086,Fair,Gain,Fair_Gain,6
RUS_0086,Unfair,Loss,Unfair_Loss,7
RUS_0086,Unfair,Gain,Unfair_Gain,7
RUS_0087,Fair,Loss,Fair_Loss,4
RUS_0087,Fair,Gain,Fair_Gain,6
RUS_0087,Unfair,Loss,Unfair_Loss,6
RUS_0087,Unfair,Gain,Unfair_Gain,7
RUS_0088,Fair,Loss,Fair_Loss,3
RUS_0088,Fair,Gain,Fair_Gain,6
RUS_0088,Unfair,Loss,Unfair_Loss,5
RUS_0088,Unfair,Gain,Unfair_Gain,7
RUS_0089,Fair,Loss,Fair_Loss,3
RUS_0089,Fair,Gain,Fair_Gain,5
RUS_0089,Unfair,Loss,Unfair_Loss,4
RUS_0089,Unfair,Gain,Unfair_Gain,6
RUS_0090,Fair,Loss,Fair_Loss,4
RUS_0090,Fair,Gain,Fair_Gain,6
RUS_0090,Unfair,Loss,Unfair_Loss,6
RUS_0090,Unfair,Gain,Unfair_Gain,7
RUS_0091,Fair,Loss,Fair_Loss,3
RUS_0091,Fair,Gain,Fair_Gain,6
RUS_0091,Unfair,Loss,Unfair_Loss,5
RUS_0091,Unfair,Gain,Unfair_Gain,7
RUS_0092,Fair,Loss,Fair_Loss,4
RUS_0092,Fair,Gain,Fair_Gain,6
RUS_0092,Unfair,Loss,Unfair_Loss,6
RUS_0092,Unfair,Gain,Unfair_Gain,7
RUS_0093,Fair,Loss,Fair_Loss,4
RUS_0093,Fair,Gain,Fair_Gain,6
RUS_0093,Unfair,Loss,Unfair_Loss,5
RUS_0093,Unfair,Gain,Unfair_Gain,7
RUS_0094,Fair,Loss,Fair_Loss,3
RUS_0094,Fair,Gain,Fair_Gain,7
RUS_0094,Unfair,Loss,Unfair_Loss,6
RUS_0094,Unfair,Gain,Unfair_Gain,7
RUS_0095,Fair,Loss,Fair_Loss,5
RUS_0095,Fair,Gain,Fair_Gain,6
RUS_0095,Unfair,Loss,Unfair_Loss,6
RUS_0095,Unfair,Gain,Unfair_Gain,7
RUS_0096,Fair,Loss,Fair_Loss,5
RUS_0096,Fair,Gain,Fair_Gain,6
RUS_0096,Unfair,Loss,Unfair_Loss,7
RUS_0096,Unfair,Gain,Unfair_Gain,7
RUS_0097,Fair,Loss,Fair_Loss,3
RUS_0097,Fair,Gain,Fair_Gain,6
RUS_0097,Unfair,Loss,Unfair_Loss,6
RUS_0097,Unfair,Gain,Unfair_Gain,6
RUS_0098,Fair,Loss,Fair_Loss,4
RUS_0098,Fair,Gain,Fair_Gain,6
RUS_0098,Unfair,Loss,Unfair_Loss,6
RUS_0098,Unfair,Gain,Unfair_Gain,7
RUS_0099,Fair,Loss,Fair_Loss,4
RUS_0099,Fair,Gain,Fair_Gain,6
RUS_0099,Unfair,Loss,Unfair_Loss,5
RUS_0099,Unfair,Gain,Unfair_Gain,7
RUS_0100,Fair,Loss,Fair_Loss,4
RUS_0100,Fair,Gain,Fair_Gain,6
RUS_0100,Unfair,Loss,Unfair_Loss,5
RUS_0100,Unfair,Gain,Unfair_Gain,6
RUS_0101,Fair,Loss,Fair_Loss,4
RUS_0101,Fair,Gain,Fair_Gain,6
RUS_0101,Unfair,Loss,Unfair_Loss,6
RUS_0101,Unfair,Gain,Unfair_Gain,7
RUS_0102,Fair,Loss,Fair_Loss,5
RUS_0102,Fair,Gain,Fair_Gain,6
RUS_0102,Unfair,Loss,Unfair_Loss,6
RUS_0102,Unfair,Gain,Unfair_Gain,7
RUS_0103,Fair,Loss,Fair_Loss,3
RUS_0103,Fair,Gain,Fair_Gain,6
RUS_0103,Unfair,Loss,Unfair_Loss,4
RUS_0103,Unfair,Gain,Unfair_Gain,7
RUS_0104,Fair,Loss,Fair_Loss,4
RUS_0104,Fair,Gain,Fair_Gain,6
RUS_0104,Unfair,Loss,Unfair_Loss,6
RUS_0104,Unfair,Gain,Unfair_Gain,7
RUS_0105,Fair,Loss,Fair_Loss,5
RUS_0105,Fair,Gain,Fair_Gain,6
RUS_0105,Unfair,Loss,Unfair_Loss,6
RUS_0105,Unfair,Gain,Unfair_Gain,7
RUS_0106,Fair,Loss,Fair_Loss,5
RUS_0106,Fair,Gain,Fair_Gain,6
RUS_0106,Unfair,Loss,Unfair_Loss,6
RUS_0106,Unfair,Gain,Unfair_Gain,7
RUS_0107,Fair,Loss,Fair_Loss,4
RUS_0107,Fair,Gain,Fair_Gain,6
RUS_0107,Unfair,Loss,Unfair_Loss,5
RUS_0107,Unfair,Gain,Unfair_Gain,7
RUS_0108,Fair,Loss,Fair_Loss,3
RUS_0108,Fair,Gain,Fair_Gain,6
RUS_0108,Unfair,Loss,Unfair_Loss,6
RUS_0108,Unfair,Gain,Unfair_Gain,7
RUS_0109,Fair,Loss,Fair_Loss,2
RUS_0109,Fair,Gain,Fair_Gain,6
RUS_0109,Unfair,Loss,Unfair_Loss,5
RUS_0109,Unfair,Gain,Unfair_Gain,6
RUS_0110,Fair,Loss,Fair_Loss,3
RUS_0110,Fair,Gain,Fair_Gain,6
RUS_0110,Unfair,Loss,Unfair_Loss,5
RUS_0110,Unfair,Gain,Unfair_Gain,6
RUS_0111,Fair,Loss,Fair_Loss,3
RUS_0111,Fair,Gain,Fair_Gain,6
RUS_0111,Unfair,Loss,Unfair_Loss,6
RUS_0111,Unfair,Gain,Unfair_Gain,7
RUS_0112,Fair,Loss,Fair_Loss,4
RUS_0112,Fair,Gain,Fair_Gain,6
RUS_0112,Unfair,Loss,Unfair_Loss,6
RUS_0112,Unfair,Gain,Unfair_Gain,7
RUS_0113,Fair,Loss,Fair_Loss,4
RUS_0113,Fair,Gain,Fair_Gain,6
RUS_0113,Unfair,Loss,Unfair_Loss,6
RUS_0113,Unfair,Gain,Unfair_Gain,7
RUS_0114,Fair,Loss,Fair_Loss,4
RUS_0114,Fair,Gain,Fair_Gain,6
RUS_0114,Unfair,Loss,Unfair_Loss,6
RUS_0114,Unfair,Gain,Unfair_Gain,7
RUS_0115,Fair,Loss,Fair_Loss,4
RUS_0115,Fair,Gain,Fair_Gain,6
RUS_0115,Unfair,Loss,Unfair_Loss,5
RUS_0115,Unfair,Gain,Unfair_Gain,7
RUS_0116,Fair,Loss,Fair_Loss,5
RUS_0116,Fair,Gain,Fair_Gain,6
RUS_0116,Unfair,Loss,Unfair_Loss,6
RUS_0116,Unfair,Gain,Unfair_Gain,7
RUS_0117,Fair,Loss,Fair_Loss,4
RUS_0117,Fair,Gain,Fair_Gain,6
RUS_0117,Unfair,Loss,Unfair_Loss,6
RUS_0117,Unfair,Gain,Unfair_Gain,7
RUS_0118,Fair,Loss,Fair_Loss,3
RUS_0118,Fair,Gain,Fair_Gain,6
RUS_0118,Unfair,Loss,Unfair_Loss,4
RUS_0118,Unfair,Gain,Unfair_Gain,6
RUS_0119,Fair,Loss,Fair_Loss,2
RUS_0119,Fair,Gain,Fair_Gain,6
RUS_0119,Unfair,Loss,Unfair_Loss,3
RUS_0119,Unfair,Gain,Unfair_Gain,6
RUS_0120,Fair,Loss,Fair_Loss,4
RUS_0120,Fair,Gain,Fair_Gain,6
RUS_0120,Unfair,Loss,Unfair_Loss,5
RUS_0120,Unfair,Gain,Unfair_Gain,7
RUS_0121,Fair,Loss,Fair_Loss,4
RUS_0121,Fair,Gain,Fair_Gain,6
RUS_0121,Unfair,Loss,Unfair_Loss,6
RUS_0121,Unfair,Gain,Unfair_Gain,7
RUS_0122,Fair,Loss,Fair_Loss,3
RUS_0122,Fair,Gain,Fair_Gain,6
RUS_0122,Unfair,Loss,Unfair_Loss,6
RUS_0122,Unfair,Gain,Unfair_Gain,7
RUS_0123,Fair,Loss,Fair_Loss,2
RUS_0123,Fair,Gain,Fair_Gain,6
RUS_0123,Unfair,Loss,Unfair_Loss,6
RUS_0123,Unfair,Gain,Unfair_Gain,7
RUS_0124,Fair,Loss,Fair_Loss,4
RUS_0124,Fair,Gain,Fair_Gain,6
RUS_0124,Unfair,Loss,Unfair_Loss,6
RUS_0124,Unfair,Gain,Unfair_Gain,7
RUS_0125,Fair,Loss,Fair_Loss,4
RUS_0125,Fair,Gain,Fair_Gain,6
RUS_0125,Unfair,Loss,Unfair_Loss,5
RUS_0125,Unfair,Gain,Unfair_Gain,7
RUS_0126,Fair,Loss,Fair_Loss,3
RUS_0126,Fair,Gain,Fair_Gain,5
RUS_0126,Unfair,Loss,Unfair_Loss,5
RUS_0126,Unfair,Gain,Unfair_Gain,6
RUS_0127,Fair,Loss,Fair_Loss,3
RUS_0127,Fair,Gain,Fair_Gain,6
RUS_0127,Unfair,Loss,Unfair_Loss,5
RUS_0127,Unfair,Gain,Unfair_Gain,7
RUS_0128,Fair,Loss,Fair_Loss,3
RUS_0128,Fair,Gain,Fair_Gain,5
RUS_0128,Unfair,Loss,Unfair_Loss,3
RUS_0128,Unfair,Gain,Unfair_Gain,6
RUS_0129,Fair,Loss,Fair_Loss,5
RUS_0129,Fair,Gain,Fair_Gain,6
RUS_0129,Unfair,Loss,Unfair_Loss,6
RUS_0129,Unfair,Gain,Unfair_Gain,7
RUS_0130,Fair,Loss,Fair_Loss,4
RUS_0130,Fair,Gain,Fair_Gain,6
RUS_0130,Unfair,Loss,Unfair_Loss,6
RUS_0130,Unfair,Gain,Unfair_Gain,7
RUS_0131,Fair,Loss,Fair_Loss,4
RUS_0131,Fair,Gain,Fair_Gain,6
RUS_0131,Unfair,Loss,Unfair_Loss,6
RUS_0131,Unfair,Gain,Unfair_Gain,7
RUS_0132,Fair,Loss,Fair_Loss,3
RUS_0132,Fair,Gain,Fair_Gain,6
RUS_0132,Unfair,Loss,Unfair_Loss,5
RUS_0132,Unfair,Gain,Unfair_Gain,7
RUS_0133,Fair,Loss,Fair_Loss,3
RUS_0133,Fair,Gain,Fair_Gain,5
RUS_0133,Unfair,Loss,Unfair_Loss,4
RUS_0133,Unfair,Gain,Unfair_Gain,6
RUS_0134,Fair,Loss,Fair_Loss,3
RUS_0134,Fair,Gain,Fair_Gain,6
RUS_0134,Unfair,Loss,Unfair_Loss,5
RUS_0134,Unfair,Gain,Unfair_Gain,7
RUS_0135,Fair,Loss,Fair_Loss,4
