group_id,RED_id,RED_choice,BLUE_id,BLUE_choice,GREEN_id,GREEN_choice,condition
94,RUS_0415,Triangle,RUS_0055,Triangle,RUS_0510,I,with_intervention
95,RUS_0891,Square,RUS_0677,Triangle,RUS_0716,O,without_intervention
96,RUS_0016,Triangle,RUS_0100,Triangle,RUS_0557,I,with_intervention
97,RUS_0801,Triangle,RUS_0844,Triangle,RUS_0218,I,with_intervention
98,RUS_0549,Triangle,RUS_0851,Square,RUS_0602,O,without_intervention
99,RUS_0271,Triangle,RUS_0518,Triangle,RUS_0481,I,with_intervention
100,RUS_0543,Square,RUS_0254,Square,RUS_0504,O,without_intervention
101,RUS_0782,Triangle,RUS_0071,Triangle,RUS_0029,I,with_intervention
102,RUS_0618,Square,RUS_0945,Triangle,RUS_0195,O,without_intervention
103,RUS_0691,Square,RUS_0458,Square,RUS_0292,O,without_intervention
104,RUS_0652,Triangle,RUS_0747,Triangle,RUS_0572,I,with_intervention
105,RUS_0064,Triangle,RUS_0928,Square,RUS_0240,O,without_intervention
106,RUS_0570,Triangle,RUS_0742,Triangle,RUS_0092,I,with_intervention
107,RUS_0943,Square,RUS_0279,Triangle,RUS_0349,O,without_intervention
108,RUS_0682,Square,RUS_0591,Triangle,RUS_0670,O,without_intervention
109,RUS_0084,Square,RUS_0361,Triangle,RUS_0198,O,without_intervention
110,RUS_0334,Triangle,RUS_0019,Triangle,RUS_0229,I,with_intervention
111,RUS_0498,Square,RUS_0377,Square,RUS_0528,O,without_intervention
112,RUS_0875,Square,RUS_0243,Square,RUS_0640,O,without_intervention
113,RUS_0336,Triangle,RUS_0166,Triangle,RUS_0041,I,with_intervention
114,RUS_0484,Triangle,RUS_0142,Triangle,RUS_0821,I,with_intervention
115,RUS_0303,Triangle,RUS_0020,Square,RUS_0475,O,without_intervention
116,RUS_0588,Triangle,RUS_0245,Triangle,RUS_0260,I,with_intervention
117,RUS_0665,Square,RUS_0192,Square,RUS_0755,O,without_intervention
118,RUS_0877,Triangle,RUS_0350,Triangle,RUS_0883,I,with_intervention
119,RUS_0568,Triangle,RUS_0824,Triangle,RUS_0050,I,with_intervention
120,RUS_0685,Triangle,RUS_0070,Triangle,RUS_0393,O,without_intervention
121,RUS_0089,Square,RUS_0978,Triangle,RUS_0478,O,without_intervention
122,RUS_0647,Square,RUS_0421,Triangle,RUS_0937,O,without_intervention
123,RUS_0010,Triangle,RUS_0887,Triangle,RUS_0536,I,with_intervention
124,RUS_0963,Square,RUS_0613,Triangle,RUS_0942,O,without_intervention
125,RUS_0939,Square,RUS_0451,Triangle,RUS_0938,I,with_intervention
126,RUS_0535,Square,RUS_0740,Square,RUS_0286,O,without_intervention
127,RUS_0028,Triangle,RUS_0502,Square,RUS_0576,O,without_intervention
128,RUS_0897,Square,RUS_0751,Triangle,RUS_0157,I,with_intervention
129,RUS_0437,Square,RUS_0304,Square,RUS_0394,O,without_intervention
130,RUS_0277,Square,RUS_0215,Square,RUS_0839,O,without_intervention
131,RUS_0553,Square,RUS_0412,Square,RUS_0413,O,without_intervention
132,RUS_0778,Triangle,RUS_0835,Triangle,RUS_0440,O,without_intervention
133,RUS_0264,Square,RUS_0580,Square,RUS_0660,O,without_intervention
134,RUS_0359,Triangle,RUS_0345,Triangle,RUS_0908,I,with_intervention
135,RUS_0223,Triangle,RUS_0479,Triangle,RUS_0496,I,with_intervention
136,RUS_0085,Square,RUS_0784,Triangle,RUS_0906,O,without_intervention
137,RUS_0548,Triangle,RUS_0774,Triangle,RUS_0125,I,with_intervention
138,RUS_0843,Triangle,RUS_0852,Square,RUS_0892,I,with_intervention
139,RUS_0773,Square,RUS_0325,Square,RUS_0950,O,without_intervention
140,RUS_0880,Square,RUS_0275,Triangle,RUS_0929,I,with_intervention
141,RUS_0506,Square,RUS_0453,Square,RUS_0554,O,without_intervention
142,RUS_0009,Square,RUS_0512,Triangle,RUS_0319,O,without_intervention
143,RUS_0831,Triangle,RUS_0149,Triangle,RUS_0042,I,with_intervention
144,RUS_0290,Triangle,RUS_0362,Triangle,RUS_0329,I,with_intervention
145,RUS_0291,Triangle,RUS_0984,Triangle,RUS_0902,I,with_intervention
146,RUS_0853,Triangle,RUS_0526,Square,RUS_0569,O,without_intervention
147,RUS_0637,Square,RUS_0989,Square,RUS_0924,O,without_intervention
148,RUS_0861,Triangle,RUS_0076,Triangle,RUS_0239,O,without_intervention
149,RUS_0463,Triangle,RUS_0180,Triangle,RUS_0347,I,with_intervention
150,RUS_0785,Triangle,RUS_0381,Triangle,RUS_0954,I,with_intervention
151,RUS_0813,Square,RUS_0926,Triangle,RUS_0595,I,with_intervention
152,RUS_0521,Triangle,RUS_0941,Triangle,RUS_0056,O,without_intervention
153,RUS_0078,Triangle,RUS_0398,Square,RUS_0462,O,without_intervention
154,RUS_0664,Square,RUS_0300,Square,RUS_0505,I,with_intervention
155,RUS_0490,Triangle,RUS_0209,Triangle,RUS_0911,I,with_intervention
156,RUS_0486,Triangle,RUS_0649,Square,RUS_0795,O,without_intervention
157,RUS_0696,Triangle,RUS_0249,Triangle,RUS_0364,I,with_intervention
158,RUS_0467,Triangle,RUS_0483,Triangle,RUS_0775,I,with_intervention
159,RUS_0866,Triangle,RUS_0683,Triangle,RUS_0219,I,with_intervention
160,RUS_0787,Square,RUS_0789,Square,RUS_0441,O,without_intervention
161,RUS_0725,Triangle,RUS_0201,Triangle,RUS_0346,O,without_intervention
162,RUS_0603,Triangle,RUS_0885,Square,RUS_0109,O,without_intervention
163,RUS_0438,Triangle,RUS_0579,Triangle,RUS_0257,I,with_intervention
164,RUS_0850,Square,RUS_0189,Square,RUS_0150,O,without_intervention
165,RUS_0970,Triangle,RUS_0651,Square,RUS_0380,I,with_intervention
166,RUS_0094,Triangle,RUS_0439,Triangle,RUS_0770,I,with_intervention
167,RUS_0922,Square,RUS_0476,Triangle,RUS_0890,I,with_intervention
168,RUS_0276,Triangle,RUS_0642,Triangle,RUS_0220,O,without_intervention
169,RUS_0816,Triangle,RUS_0146,Triangle,RUS_0397,O,without_intervention
170,RUS_0681,Square,RUS_0263,Triangle,RUS_0771,I,with_intervention
171,RUS_0749,Triangle,RUS_0194,Square,RUS_0979,O,without_intervention
172,RUS_0925,Square,RUS_0711,Square,RUS_0130,O,without_intervention
173,RUS_0833,Triangle,RUS_0251,Square,RUS_0333,O,without_intervention
174,RUS_0990,Square,RUS_0128,Square,RUS_0947,O,without_intervention
175,RUS_0920,Square,RUS_0095,Triangle,RUS_0806,O,without_intervention
176,RUS_0661,Triangle,RUS_0176,Triangle,RUS_0296,O,without_intervention
177,RUS_0203,Triangle,RUS_0006,Triangle,RUS_0971,I,with_intervention
178,RUS_0112,Square,RUS_0632,Square,RUS_0106,O,without_intervention
179,RUS_0552,Triangle,RUS_0297,Square,RUS_0052,O,without_intervention
180,RUS_0427,Triangle,RUS_0138,Triangle,RUS_0598,O,without_intervention
181,RUS_0049,Square,RUS_0826,Triangle,RUS_0932,O,without_intervention
182,RUS_0623,Triangle,RUS_0805,Triangle,RUS_0662,I,with_intervention
183,RUS_0709,Triangle,RUS_0246,Square,RUS_0585,I,with_intervention
184,RUS_0233,Triangle,RUS_0366,Square,RUS_0168,O,without_intervention
185,RUS_0803,Square,RUS_0501,Triangle,RUS_0961,O,without_intervention
186,RUS_0310,Triangle,RUS_0365,Square,RUS_0780,I,with_intervention
187,RUS_0113,Triangle,RUS_0538,Triangle,RUS_0255,O,without_intervention
188,RUS_0027,Square,RUS_0837,Triangle,RUS_0497,I,with_intervention
189,RUS_0079,Square,RUS_0756,Triangle,RUS_0269,O,without_intervention
190,RUS_0555,Square,RUS_0934,Triangle,RUS_0121,O,without_intervention
191,RUS_0222,Triangle,RUS_0320,Triangle,RUS_0594,O,without_intervention
192,RUS_0916,Square,RUS_0678,Square,RUS_0036,O,without_intervention
193,RUS_0306,Triangle,RUS_0417,Square,RUS_0356,I,with_intervention
194,RUS_0872,Triangle,RUS_0344,Square,RUS_0024,I,with_intervention
195,RUS_0105,Square,RUS_0864,Triangle,RUS_0743,O,without_intervention
196,RUS_0668,Triangle,RUS_0627,Square,RUS_0923,O,without_intervention
197,RUS_0414,Triangle,RUS_0752,Triangle,RUS_0625,I,with_intervention
198,RUS_0324,Triangle,RUS_0430,Square,RUS_0459,I,with_intervention
199,RUS_0363,Square,RUS_0133,Square,RUS_0342,O,without_intervention
200,RUS_0807,Square,RUS_0244,Square,RUS_0093,O,without_intervention
201,RUS_0382,Triangle,RUS_0273,Square,RUS_0539,I,with_intervention
202,RUS_0358,Square,RUS_0399,Square,RUS_0728,I,with_intervention
203,RUS_0469,Triangle,RUS_0582,Square,RUS_0341,I,with_intervention
204,RUS_0188,Triangle,RUS_0259,Triangle,RUS_0158,I,with_intervention
205,RUS_0628,Square,RUS_0596,Triangle,RUS_0513,O,without_intervention
206,RUS_0631,Square,RUS_0638,Triangle,RUS_0282,I,with_intervention
207,RUS_0921,Triangle,RUS_0695,Triangle,RUS_0183,I,with_intervention
208,RUS_0995,Triangle,RUS_0658,Square,RUS_0403,O,without_intervention
209,RUS_0034,Triangle,RUS_0953,Triangle,RUS_0680,I,with_intervention
210,RUS_0468,Triangle,RUS_0270,Triangle,RUS_0054,I,with_intervention
211,RUS_0140,Triangle,RUS_0404,Triangle,RUS_0354,O,without_intervention
212,RUS_0703,Square,RUS_0457,Square,RUS_0958,I,with_intervention
213,RUS_0464,Triangle,RUS_0305,Triangle,RUS_0980,O,without_intervention
214,RUS_0396,Triangle,RUS_0384,Triangle,RUS_0982,I,with_intervention
215,RUS_0164,Triangle,RUS_0315,Square,RUS_0316,O,without_intervention
216,RUS_0940,Square,RUS_0832,Square,RUS_0081,O,without_intervention
217,RUS_0443,Triangle,RUS_0025,Triangle,RUS_0874,I,with_intervention
218,RUS_0402,Triangle,RUS_0431,Triangle,RUS_0641,O,without_intervention
219,RUS_0761,Square,RUS_0729,Triangle,RUS_0879,I,with_intervention
220,RUS_0684,Triangle,RUS_0699,Triangle,RUS_0452,I,with_intervention
221,RUS_0224,Square,RUS_0621,Square,RUS_0710,O,without_intervention
222,RUS_0962,Triangle,RUS_0118,Triangle,RUS_0491,I,with_intervention
223,RUS_0204,Square,RUS_0663,Triangle,RUS_0043,I,with_intervention
224,RUS_0867,Square,RUS_0248,Triangle,RUS_0238,I,with_intervention
225,RUS_0057,Triangle,RUS_0590,Triangle,RUS_0059,I,with_intervention
226,RUS_0258,Triangle,RUS_0895,Triangle,RUS_0026,I,with_intervention
227,RUS_0466,Triangle,RUS_0975,Square,RUS_0383,O,without_intervention
228,RUS_0565,Triangle,RUS_0799,Triangle,RUS_0515,I,with_intervention
229,RUS_0983,Triangle,RUS_0714,Triangle,RUS_0645,I,with_intervention
230,RUS_0436,Triangle,RUS_0657,Triangle,RUS_0987,I,with_intervention
231,RUS_0601,Triangle,RUS_0205,Triangle,RUS_0734,I,with_intervention
232,RUS_0008,Triangle,RUS_0190,Triangle,RUS_0542,I,with_intervention
233,RUS_0167,Square,RUS_0208,Triangle,RUS_0507,O,without_intervention
234,RUS_0013,Square,RUS_0893,Triangle,RUS_0372,O,without_intervention
235,RUS_0809,Triangle,RUS_0610,Triangle,RUS_0871,I,with_intervention
236,RUS_0212,Square,RUS_0339,Triangle,RUS_0529,I,with_intervention
237,RUS_0005,Square,RUS_0488,Square,RUS_0886,O,without_intervention
238,RUS_0986,Triangle,RUS_0571,Square,RUS_0597,O,without_intervention
239,RUS_0800,Square,RUS_0566,Triangle,RUS_0976,I,with_intervention
240,RUS_0337,Triangle,RUS_0031,Square,RUS_0611,I,with_intervention
241,RUS_0898,Triangle,RUS_0129,Triangle,RUS_0062,I,with_intervention
242,RUS_0869,Triangle,RUS_0759,Square,RUS_0312,I,with_intervention
243,RUS_0702,Square,RUS_0252,Square,RUS_0904,I,with_intervention
244,RUS_0757,Triangle,RUS_0534,Triangle,RUS_0959,I,with_intervention
245,RUS_0672,Triangle,RUS_0145,Triangle,RUS_0532,O,without_intervention
246,RUS_0178,Square,RUS_0676,Square,RUS_0162,O,without_intervention
247,RUS_0307,Triangle,RUS_0563,Triangle,RUS_0487,I,with_intervention
248,RUS_0955,Square,RUS_0693,Square,RUS_0086,O,without_intervention
249,RUS_0648,Triangle,RUS_0213,Triangle,RUS_0330,I,with_intervention
250,RUS_0878,Triangle,RUS_0136,Square,RUS_0127,I,with_intervention
251,RUS_0593,Square,RUS_0738,Square,RUS_0370,O,without_intervention
252,RUS_0762,Square,RUS_0931,Square,RUS_0067,I,with_intervention
253,RUS_0185,Triangle,RUS_0910,Triangle,RUS_0280,I,with_intervention
254,RUS_0375,Triangle,RUS_0335,Square,RUS_0818,O,without_intervention
255,RUS_0811,Triangle,RUS_0522,Triangle,RUS_0808,I,with_intervention
256,RUS_0360,Triangle,RUS_0401,Triangle,RUS_0097,I,with_intervention
257,RUS_0524,Square,RUS_0966,Triangle,RUS_0788,O,without_intervention
258,RUS_0639,Triangle,RUS_0608,Square,RUS_0622,O,without_intervention
259,RUS_0669,Triangle,RUS_0023,Triangle,RUS_0433,O,without_intervention
260,RUS_0102,Square,RUS_0265,Triangle,RUS_0690,O,without_intervention
261,RUS_0144,Triangle,RUS_0868,Square,RUS_0951,O,without_intervention
262,RUS_0836,Triangle,RUS_0822,Triangle,RUS_0656,I,with_intervention
263,RUS_0842,Square,RUS_0302,Triangle,RUS_0783,I,with_intervention
264,RUS_0643,Triangle,RUS_0051,Triangle,RUS_0406,I,with_intervention
265,RUS_0744,Triangle,RUS_0450,Square,RUS_0537,I,with_intervention
266,RUS_0368,Triangle,RUS_0187,Triangle,RUS_0159,I,with_intervention
267,RUS_0659,Triangle,RUS_0606,Triangle,RUS_0567,I,with_intervention
268,RUS_0012,Square,RUS_0367,Square,RUS_0135,O,without_intervention
269,RUS_0231,Triangle,RUS_0340,Triangle,RUS_0011,I,with_intervention
270,RUS_0332,Triangle,RUS_0160,Triangle,RUS_0237,I,with_intervention
271,RUS_0419,Square,RUS_0373,Square,RUS_0930,O,without_intervention
272,RUS_0996,Triangle,RUS_0746,Triangle,RUS_0697,I,with_intervention
273,RUS_0700,Square,RUS_0948,Triangle,RUS_0262,I,with_intervention
274,RUS_0525,Square,RUS_0870,Triangle,RUS_0988,O,without_intervention
275,RUS_0523,Triangle,RUS_0829,Square,RUS_0862,I,with_intervention
276,RUS_0326,Square,RUS_0298,Square,RUS_0156,O,without_intervention
277,RUS_0387,Triangle,RUS_0960,Triangle,RUS_0061,I,with_intervention
278,RUS_0667,Triangle,RUS_0804,Triangle,RUS_0411,I,with_intervention
279,RUS_0060,Square,RUS_0615,Square,RUS_0217,O,without_intervention
280,RUS_0221,Square,RUS_0718,Square,RUS_0820,O,without_intervention
281,RUS_0087,Triangle,RUS_0834,Triangle,RUS_0559,I,with_intervention
282,RUS_0126,Square,RUS_0044,Square,RUS_0863,O,without_intervention
283,RUS_0739,Triangle,RUS_0519,Square,RUS_0819,O,without_intervention
284,RUS_0763,Triangle,RUS_0688,Triangle,RUS_0379,I,with_intervention
285,RUS_0619,Square,RUS_0153,Square,RUS_0701,O,without_intervention
286,RUS_0914,Triangle,RUS_0620,Triangle,RUS_0644,O,without_intervention
287,RUS_0706,Triangle,RUS_0225,Square,RUS_0115,I,with_intervention
288,RUS_0503,Triangle,RUS_0500,Triangle,RUS_0090,I,with_intervention
289,RUS_0423,Square,RUS_0857,Triangle,RUS_0633,O,without_intervention
290,RUS_0266,Square,RUS_0508,Square,RUS_0915,O,without_intervention
291,RUS_0108,Square,RUS_0849,Triangle,RUS_0099,O,without_intervention
292,RUS_0435,Triangle,RUS_0348,Square,RUS_0600,I,with_intervention
293,RUS_0748,Square,RUS_0386,Triangle,RUS_0193,I,with_intervention
294,RUS_0390,Triangle,RUS_0494,Triangle,RUS_0646,I,with_intervention
295,RUS_0088,Triangle,RUS_0967,Triangle,RUS_0131,I,with_intervention
296,RUS_0416,Triangle,RUS_0873,Triangle,RUS_0003,I,with_intervention
297,RUS_0617,Triangle,RUS_0517,Square,RUS_0323,I,with_intervention
298,RUS_0556,Triangle,RUS_0449,Triangle,RUS_0636,I,with_intervention
299,RUS_0470,Triangle,RUS_0226,Triangle,RUS_0247,I,with_intervention
300,RUS_0489,Square,RUS_0038,Triangle,RUS_0860,O,without_intervention
301,RUS_0876,Square,RUS_0002,Triangle,RUS_0169,O,without_intervention
302,RUS_0687,Square,RUS_0912,Square,RUS_0847,O,without_intervention
303,RUS_0520,Triangle,RUS_0434,Triangle,RUS_0956,I,with_intervention
304,RUS_0474,Triangle,RUS_0583,Triangle,RUS_0454,I,with_intervention
305,RUS_0047,Triangle,RUS_0405,Triangle,RUS_0293,I,with_intervention
306,RUS_0446,Square,RUS_0355,Square,RUS_0981,O,without_intervention
307,RUS_0935,Triangle,RUS_0236,Triangle,RUS_0287,I,with_intervention
308,RUS_0132,Square,RUS_0181,Square,RUS_0409,O,without_intervention
309,RUS_0558,Triangle,RUS_0776,Triangle,RUS_0210,I,with_intervention
310,RUS_0395,Triangle,RUS_0015,Square,RUS_0840,O,without_intervention
311,RUS_0465,Triangle,RUS_0424,Triangle,RUS_0612,I,with_intervention
312,RUS_0624,Triangle,RUS_0228,Triangle,RUS_0069,I,with_intervention
313,RUS_0823,Triangle,RUS_0448,Square,RUS_0234,O,without_intervention
314,RUS_0182,Triangle,RUS_0371,Square,RUS_0392,O,without_intervention
315,RUS_0946,Square,RUS_0216,Triangle,RUS_0267,O,without_intervention
316,RUS_0179,Triangle,RUS_0328,Triangle,RUS_0378,O,without_intervention
317,RUS_0848,Triangle,RUS_0139,Triangle,RUS_0152,I,with_intervention
318,RUS_0854,Triangle,RUS_0314,Triangle,RUS_0817,I,with_intervention
319,RUS_0888,Square,RUS_0035,Triangle,RUS_0321,O,without_intervention
320,RUS_0400,Triangle,RUS_0068,Square,RUS_0511,O,without_intervention
321,RUS_0200,Triangle,RUS_0410,Square,RUS_0331,O,without_intervention
322,RUS_0992,Square,RUS_0686,Square,RUS_0933,O,without_intervention
323,RUS_0629,Square,RUS_0692,Triangle,RUS_0385,I,with_intervention
324,RUS_0352,Triangle,RUS_0573,Square,RUS_0731,O,without_intervention
325,RUS_0301,Triangle,RUS_0858,Triangle,RUS_0814,I,with_intervention
326,RUS_0721,Triangle,RUS_0889,Triangle,RUS_0792,I,with_intervention
327,RUS_0103,Square,RUS_0768,Square,RUS_0123,I,with_intervention
328,RUS_0063,Triangle,RUS_0977,Triangle,RUS_0546,I,with_intervention
329,RUS_0211,Triangle,RUS_0288,Triangle,RUS_0825,I,with_intervention
330,RUS_0250,Triangle,RUS_0713,Square,RUS_0777,O,without_intervention
331,RUS_0165,Triangle,RUS_0357,Triangle,RUS_0516,I,with_intervention
332,RUS_0442,Square,RUS_0418,Square,RUS_0884,O,without_intervention
333,RUS_0261,Triangle,RUS_0196,Square,RUS_0472,O,without_intervention
